"DG(18:3(9Z,12Z,15Z)/20:0/0:0)[iso2]",C41H74O5
"DG(18:2(9Z,12Z)/20:1(11Z)/0:0)[iso2]",C41H74O5
"DG(18:1(9Z)/20:2(11Z,14Z)/0:0)[iso2]",C41H74O5
"DG(18:0/20:3(8Z,11Z,14Z)/0:0)[iso2]",C41H74O5
"DG(17:2(9Z,12Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C40H66O5
"DG(17:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C40H66O5
DG(17:0/21:0/0:0)[iso2],C41H80O5
DG(16:1(9Z)/22:0/0:0)[iso2],C41H78O5
DG(16:0/22:1(13Z)/0:0)[iso2],C41H78O5
DG(19:0/20:0/0:0)[iso2],C42H82O5
"DG(18:3(9Z,12Z,15Z)/20:1(11Z)/0:0)[iso2]",C41H72O5
"DG(18:2(9Z,12Z)/20:2(11Z,14Z)/0:0)[iso2]",C41H72O5
"DG(18:1(9Z)/20:3(8Z,11Z,14Z)/0:0)[iso2]",C41H72O5
"DG(18:0/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C41H72O5
"DG(17:2(9Z,12Z)/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C40H64O5
DG(17:1(9Z)/21:0/0:0)[iso2],C41H78O5
DG(17:0/22:0/0:0)[iso2],C42H82O5
DG(16:1(9Z)/22:1(13Z)/0:0)[iso2],C41H76O5
"DG(16:0/22:3(10Z,13Z,16Z)/0:0)[iso2]",C41H74O5
DG(20:0/20:0/0:0),C43H84O5
DG(19:0/20:1(11Z)/0:0)[iso2],C42H80O5
"DG(18:3(9Z,12Z,15Z)/20:2(11Z,14Z)/0:0)[iso2]",C41H70O5
"DG(18:2(9Z,12Z)/20:3(8Z,11Z,14Z)/0:0)[iso2]",C41H70O5
"DG(18:1(9Z)/20:4(5Z,8Z,11Z,14Z)/0:0)[iso2]",C41H70O5
"DG(18:0/20:5(5Z,8Z,11Z,14Z,17Z)/0:0)[iso2]",C41H70O5
"DG(17:2(9Z,12Z)/21:0/0:0)[iso2]",C41H76O5
DG(17:1(9Z)/22:0/0:0)[iso2],C42H80O5
DG(17:0/22:1(13Z)/0:0)[iso2],C42H80O5
"DG(16:1(9Z)/22:3(10Z,13Z,16Z)/0:0)[iso2]",C41H72O5
"DG(16:0/22:2(13Z,16Z)/0:0)[iso2]",C41H76O5
